100,Eastern Conference First Round A Group
101,Eastern Conference First Round B Group
102,Eastern Conference First Round C Group
103,Eastern Conference First Round D Group
110,Eastern Conference Semifinals A Group
111,Eastern Conference Semifinals B Group
120,Eastern Conference Finals
200,Western Conference First Round A Group
201,Western Conference First Round B Group
202,Western Conference First Round C Group
203,Western Conference First Round D Group
210,Western Conference Semifinals A Group
211,Western Conference Semifinals B Group
220,Western Conference Finals
300,Finals
