1,Kent Bazemore,1989-07-01,North Carolina,196,91,Old Domion University,2012-11-09,2
2,Tim Hardaway,1992-03-16,Florida,198,92,University of Michigan,2013-10-30,1
3,Kirk Hinrich,1981-01-02,Iowa,193,86,University of Kansas,2003-11-07,1
4,Justin Holiday,1989-04-05,California,198,83,University of Washington,2003-04-03,1
5,Al Horford,1986-06-03,Michigan,208,111,Univesity of Florida,2007-11-02,1
6,Kris Humphries,1985-02-06,Minnesota,206,106,University of Minnestoa,2004-11-03,1
7,Kyle Korver,1981-03-17,California,201,96,Creighton University,2003-10-28,1
8,Shelvin Mack,1990-07-01,Kentucky,190,92,Butler University,2011-12-26,1
9,Paul Millsap,1985-02-10,Louisiana,203,111,Louisiana Tech University,2005-11-01,1
10,Mike Muscala,1991-07-01,Minnesota,211,108,Bucknell University,2014-03-02,1
11,Lamar Patterson,1991-08-12,Pennsylvania,196,102,University of Pittsburgh,2015-10-27,1
12,Dennis Schroder,1993-09-15,Germany,185,78,,2013-10-30,1
13,Mike Scott,1988-07-16,Virginia,203,107,University of Virginia,2012-11-11,1
14,Thabo Sefolosha,1984-05-02,Switzerland,201,99,,2006-10-31,1
15,Tiago Splitter,1985-01-01,Brazil,211,111,,2010-11-01,1
16,Walter Tavares,1992-03-22,Cape Verde,221,117,,2015-10-29,1
17,Jeff Teague,1988-06-10,Indiana,188,84,Wake Forest University,2009-10-28,1
18,Avery Bradley,1990-11-26,Washington,188,81,University of Texas at Austin,2010-11-22,1
19,Coty Clarke,1002-07-04,Tennessee,201,105,University of Arkansas,2016-03-15,1
20,Jae Crowder,1990-07-06,Georgia,198,106,Marquette University,2012-10-30,1
21,R.J. Hunter,1993-10-24,Ohio,196,83,Georgia State University,2015-11-04,1
22,Jonas Jerebko,1993-10-24,Sweden,208,104,,2009-10-31,1
23,Amir Johnson,1987-03-02,California,206,108,,2006-01-24,1
24,David Lee,1987-05-01,Missouri,206,111,University of Florida,2005-11-06,2
25,Jordan Mickey,1983-04-29,Texas,203,106,Louisiana State University,2015-10-28,1
26,Kelly Olynyk,1994-07-09,Canada,213,107,Gonzaga University,2013-10-30,1
27,Terry Rozier,1991-04-19,Ohio,188,86,University of Louisville,2015-10-28,1
28,Marcus Smart,1994-03-17,Texas,193,99,Oklahoma State University,2014-10-29,1
29,Jared Sullinger,1994-03-06,Ohio,206,117,Ohio State University,2012-10-30,1
30,Isaiah Thomas,1992-03-04,Connecticut,175,83,University of Washington,2011-12-26,2
31,Evan Turner,1988-10-27,Illinois,201,99,Ohio State University,2010-10-27,1
32,James Young,1995-08-16,Michigan,198,97,University of Kentucky,2014-11-01,2
33,Tyler Zeller,1990-01-17,California,214,114,University of North Carolina,2013-10-30,1
34,Andrea Bargnani,1985-10-26,Italy,213,111,,2006-11-01,1
35,Bojan Bogdanovic,1989-04-18,Bosnia and Heregovina,203,96,,2014-10-29,1
