1,Atlanta Hawks,USA,Georgia,Atlanta,3,1949,2016,68,45,1,2650,2656,atlanta.png
2,Boston Celtics,USA,Massachusetts,Boston,1,1946,2016,71,53,17,3221,2257,boston.png
3,Brooklyn Nets,USA,New York,Brooklyn,1,1967,2016,50,26,2,1734,2242,brooklyn.png
4,Charlotte Hornets,USA,North Carolina,Charlotte,3,1988,2016,27,10,0,916,1168,charlotte.png
5,Chicago Bulls,USA,Illinois,Chicago,2,1966,2016,51,34,6,2115,1936,chicago.png
6,Cleveland Cavaliers,USA,Ohio,Cleveland,2,1970,2016,47,20,1,1728,1996,cleveland.png
7,Dallas Mavericks,USA,Texas,Dallas,6,1980,2016,37,21,1,1482,1422,dallas.png
8,Denver Nuggets,USA,Colorado,Denver,4,1967,2016,50,33,0,1976,2000,denver.png
9,Detroit Pistons,USA,Michigan,Detroit,2,1948,2016,69,41,3,2616,2752,detroit.png
10,Golden State Warriors,USA,California,Oakland,5,1946,2016,71,32,4,2590,2884,goldenstate.png
11,Houston Rockets,USA,Texas,Houston,6,1967,2016,50,30,2,2052,1918,houston.png
12,Indiana Pacers,USA,Indiana,Indianapolis,2,1967,2016,50,32,3,2033,1942,indiana.png
13,Los Angeles Clippers,USA,California,Los Angeles,5,1970,2016,47,12,0,1469,2255,losangelesclippers.png
14,Los Angeles Lakers,USA,California,Los Angeles,5,1948,2016,69,60,16,3235,2134,losangeleslakers.png
15,Memphis Grizzlies,USA,Tennessee,Memphis,6,1995,2016,22,9,0,694,980,memphis.png
16,Miami Heat,USA,Florida,Miami,3,1988,2016,29,19,3,1170,1078,miami.png
17,Milwaukee Bucks,USA,Wisconsin,Milwaukee,2,1968,2016,49,28,1,1983,1905,milwaukee.png
18,Minnesota Timberwolves,USA,Minnesota,Minnesota,4,1989,2016,28,8,0,847,1319,minnesota.png
19,New Orleans Pelicans,USA,Louisiana,New Orleans,6,2002,2016,15,6,0,528,604,neworleans.png
20,New York Knicks,USA,New York,New York,1,1946,2016,71,42,2,2701,2774,newyork.png
21,Oklahoma City Thunder,USA,Oklahoma,Oklahoma City,4,1967,2016,50,28,1,2139,1831,oklahomacity.png
22,Orlando Magic,USA,Florida,Orlando,3,1989,2016,28,14,0,1062,1104,orlando.png
23,Philadelphia 76ers,USA,Pennsylvania,Philadelphia,1,1949,2016,68,47,3,2726,2578,philadelphia.png
24,Phoenix Suns,USA,Arizona,Phoenix,5,1968,2016,49,29,0,2122,1766,phoenix.png
25,Portland Trail Blazers,USA,Oregon,Portland,4,1970,2016,47,32,1,1991,1733,portland.png
26,Sacramento Kings,USA,California,Sacramento,5,1948,2016,69,29,1,2464,2905,sacramento.png
27,San Antonio Spurs,USA,Texas,San Antonio,6,1967,2016,50,44,5,2384,1592,sanantonio.png
28,Toronto Raptors,Canada,Ontario,Toronto,1,1995,2016,22,8,0,734,940,toronto.png
29,Utah Jazz,USA,Utah,Salt Lake City,4,1974,2016,43,25,0,1815,1581,utah.png
30,Washington Wizards,USA,District of Columbia,Washington,3,1961,2016,56,27,1,2004,2447,washington.png
